ra,dec,mjd_i,u,g,r,i,z,objID,err_i,thingID
12.1870563811771,-0.761527298566675,52963.17471733,24.51909,25.06719,25.00692,22.6452,23.23518,1237663783128990796,0.203322,77759296
12.1915471794889,-0.762405206511125,54424.20414964,26.04063,20.52001,19.172,18.42946,18.03406,1237676324423008353,0.01257118,77759278
12.1951208776046,-0.764270758868803,51819.38787794,22.18901,21.92889,20.09575,19.50706,18.96039,1237653011368116441,0.04594097,77759309
12.1811297118133,-0.7792206351201,52586.24410767,25.18722,22.72997,21.69947,21.45724,21.54305,1237660355752755668,0.1335528,77759369
12.1915310652693,-0.762400420924592,52963.17471733,23.19029,20.60988,19.17842,18.44557,18.05132,1237663783128989841,0.009835401,77759278
12.1853695550393,-0.77799905784529,51136.16648779,22.95147,22.12237,22.62071,22.23727,20.59889,1237646646197551498,0.5838716,77759373
12.1846663633245,-0.760802743521983,52910.32426924,25.40918,23.60299,22.0867,21.5816,21.24411,1237663276322456367,0.1741557,77759387
12.1853944197843,-0.778030959498747,52959.19494393,23.34887,22.72457,22.0338,22.5724,22.43062,1237663714409054732,0.3454455,77759373
12.195094645599,-0.764276717690277,52552.3435115,24.75677,22.40821,20.73165,20.00008,19.65185,1237659904789643523,0.03941663,77759309
12.1929144169075,-0.770279493892621,52558.3518048,23.70894,22.84148,22.07201,21.99115,22.37085,1237660025045975427,0.1705243,77759293
12.2009416422495,-0.773281412940193,52558.3518048,23.14467,20.81943,19.46765,18.88577,18.50984,1237660025045975160,0.01354242,77759448
12.1951078027467,-0.764278157346676,52586.24410767,23.84966,22.21991,20.5816,19.86424,19.32051,1237660355752755707,0.05287241,77759309
12.1950984361749,-0.764268810769608,54424.20414964,24.45111,22.7824,20.81441,20.1375,19.65714,1237676324423008620,0.06288991,77759309
12.2010432837461,-0.766991518857833,52577.23916663,22.43838,22.95518,21.74093,21.4561,20.83726,1237660222616633932,0.125273,77759454
12.2026206247552,-0.761024317049032,52910.32468387,22.66398,22.76787,21.51202,21.12988,20.68991,1237663276322521383,0.07716565,77759456
12.205765566447,-0.775672680039515,52963.17471733,22.09015,21.12297,19.83729,19.4788,19.02305,1237663783128990278,0.03701902,77759457
12.1811443015039,-0.779234988019084,52552.34309687,24.80717,22.65999,21.7763,21.5965,20.76089,1237659904789578333,0.1031608,77759369
12.2009526362623,-0.773278422945448,52910.32468387,23.11351,20.80604,19.47585,18.81547,18.55103,1237663276322521229,0.01240929,77759448
12.1935750621962,-0.769990690432113,53352.1457467599,22.35293,21.87422,21.09495,20.58514,19.83834,1237667171857727978,0.07406912,77759292
12.1854192899024,-0.777962413636731,51819.38746331,22.81297,23.04749,21.90979,21.67028,21.68845,1237653011368051361,0.1924773,77759373
12.2010136448829,-0.766937065563855,52586.24410767,24.01273,22.72743,21.93983,21.6623,22.0226,1237660355752755719,0.1538095,77759454
12.1929772323028,-0.770194835112213,52959.19494393,24.13992,22.19938,21.94816,21.46322,21.80186,1237663714409054757,0.1316031,77759293
12.2009965920899,-0.766984123276794,52552.3435115,22.71591,22.59061,21.71587,21.55114,21.60505,1237659904789643537,0.1150193,77759454
12.1846070984848,-0.76123774095369,52935.25150889,23.79869,25.89575,23.22468,21.40767,21.91231,1237663525449892624,0.1706475,77759387
12.2026142446109,-0.76102858203441,51081.31667745,25.69898,22.17241,21.28705,20.78223,20.46297,1237646010551632149,0.0900339,77759456
12.1929982521561,-0.770295070060843,52577.23916663,24.07817,23.13985,22.16837,22.13825,21.91788,1237660222616633916,0.1947138,77759293
12.1935589039807,-0.770019697499368,52935.25150889,22.06382,21.25231,20.56947,20.17041,19.21928,1237663525449892326,0.08429165,77759292
12.1854305739666,-0.778037918227939,51081.31667745,24.77038,22.78869,22.29078,22.27963,23.23129,1237646010551632378,0.2964308,77759373
12.1846675656878,-0.760898305313695,52522.34884536,25.2204,24.95409,22.8384,21.46883,21.04351,1237659754449142511,0.1636399,77759387
12.2009586025546,-0.773285938723161,52522.34884536,24.31465,20.87778,19.46574,18.85806,18.56918,1237659754449141901,0.01573254,77759448
12.200954747007,-0.773283952690654,52931.25456227,23.1395,20.76197,19.43592,18.8714,18.55147,1237663478202040454,0.01405119,77759448
12.1915359394577,-0.762407654229409,52959.19494393,23.53694,20.55283,19.17515,18.44483,18.03011,1237663714409054353,0.009849335,77759278
12.1931872065929,-0.778434756275137,52963.17471733,24.54735,24.58675,23.00985,22.333,21.65504,1237663783128990800,0.195091,77759298
12.1951039913282,-0.764276109133986,52963.17471733,23.59949,22.12847,20.67326,20.11546,19.66914,1237663783128990241,0.0367945,77759309
12.1811621798277,-0.779211814793511,53352.1457467599,24.63193,23.05715,21.91352,21.66154,21.20743,1237667171857727947,0.115937,77759369
12.2009623864359,-0.773283382458668,53352.1457467599,24.81093,20.85873,19.45208,18.85015,18.5251,1237667171857727629,0.01316836,77759448
12.1811409594544,-0.779198851305396,51136.16648779,25.93453,22.93521,21.89071,21.57713,21.0547,1237646646197551493,0.1737499,77759369
12.1935585596158,-0.769992865785299,52552.34309687,22.34264,21.71053,20.85894,20.23252,19.51501,1237659904789578364,0.06052143,77759292
12.1931679372663,-0.778487363430814,52910.32426924,25.20321,23.34302,23.28584,21.7168,21.84654,1237663276322456572,0.1914441,77759298
12.1935676673466,-0.769989795092232,52963.17471733,22.81503,22.45879,21.49525,20.71774,19.88214,1237663783128990232,0.0588513,77759292
12.1811377601136,-0.779221255023848,52963.17471733,26.08843,23.09979,21.93338,21.32396,21.43421,1237663783128990191,0.06695333,77759369
12.1845987516392,-0.761016739330945,52552.34309687,23.50979,23.48765,22.58839,21.40445,21.07976,1237659904789578671,0.1340383,77759387
12.2026211953241,-0.761021939162987,52558.3518048,23.3044,22.55696,21.6223,21.12341,20.71069,1237660025045975451,0.08382758,77759456
12.184695874696,-0.761032928261352,52963.17471733,24.97148,23.74259,22.36592,21.65346,21.61478,1237663783128990605,0.1163478,77759387
12.200992762692,-0.76707959931937,51136.16648779,23.42357,22.68854,22.27892,21.19818,21.97207,1237646646197551759,0.179675,77759454
12.2057767063628,-0.775686010044745,51819.38787794,22.61819,21.22775,20.03094,19.56398,19.12982,1237653011368116466,0.04047803,77759457
12.2009595527734,-0.77329344794788,52935.25150889,22.58746,20.77569,19.47966,18.8956,18.53795,1237663525449892343,0.01477871,77759448
12.1951240052198,-0.760033652588261,52959.19494393,24.46387,23.53018,23.14399,22.55986,22.36158,1237663714409055250,0.2043578,77759312
12.1951275604333,-0.759902609581207,52963.17471733,25.69561,24.45653,23.32349,23.75148,20.25776,1237663783128990882,0.5238782,77759312
12.2010623680636,-0.766997984006289,51081.31667745,24.30854,22.72146,21.62584,21.99656,21.96548,1237646010551632144,0.3044941,77759454
12.2009536296656,-0.77328871887291,51136.16648779,25.63313,20.82552,19.44846,18.86067,18.55961,1237646646197551228,0.01725091,77759448
12.1950805170989,-0.764277106802912,52558.3518048,24.60951,22.22205,20.60921,19.98376,19.3469,1237660025045975431,0.04523164,77759309
