ra,dec,mjd_u,u,g,r,i,z,objID
12.1914974935122,-0.762391744441003,54418.26411852,23.60114,20.51424,19.12698,18.48094,18.02843,8658201040988995704
12.1915050287963,-0.762421452723173,54379.34958605,22.35896,20.55886,19.13026,18.40767,18.002,8658200452577689725
12.1915112052572,-0.762409510998957,54417.26613289,22.54207,20.51692,19.16692,18.45336,18.04494,8658201028077092947
12.19151447565,-0.762426328928899,53990.34381977,23.03391,20.51573,19.19336,18.41621,18.06299,8658197471842009185
12.1915151488997,-0.762426327248577,54061.2776978,26.26168,20.52626,19.13473,18.45553,18.04772,8658198597387092050
12.1915184336762,-0.762386607504249,54362.35945432,23.01502,20.55758,19.14834,18.41656,18.02523,8658200246410477659
12.1915201601853,-0.762431380116232,53700.25915223,22.73417,20.57593,19.17502,18.45648,18.12948,8658195646510792816
12.1915214505695,-0.762404054396982,54028.36048751,23.5931,20.52453,19.13741,18.45021,18.02763,8658198077428727919
12.1915227428196,-0.762402125303829,54424.20497897,25.9208,20.50007,19.16542,18.42361,18.02741,8658201135446032458
12.1915227788643,-0.762441740872786,54387.3581225901,22.37958,20.54703,19.11045,18.44305,18.04437,8658200594310955088
12.1915228406542,-0.762431202286456,54053.2704134,23.58197,20.64616,19.14509,18.43952,18.10252,8658198438239142083
12.1915229597833,-0.762417111592183,54035.35986065,22.61996,20.58194,19.15054,18.45954,18.04002,8658198206296162378
12.1915231284541,-0.762406030021173,54010.29187352,23.44513,20.49448,19.14087,18.43262,18.03981,8658197879891361860
12.1915234594964,-0.762422092884129,53681.3031992401,24.89593,20.66017,20.06897,18.7904,18.20771,8658195350154772548
12.1915238063725,-0.762415518750236,54357.30973599,24.36705,20.53967,19.14441,18.43001,18.04501,8658200156226125909
12.1915240316593,-0.762410184488732,54024.37193167,22.34356,20.52064,19.17793,18.44104,18.06173,8658198021601230952
12.1915254486373,-0.762456659763145,54391.35907178,22.48697,20.61992,19.13615,18.39036,18.09519,8658200667293352054
12.1915254819602,-0.762398268982317,54049.30644961,21.99746,20.5732,19.15566,18.47905,18.10706,8658198360908365895
