ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i
12.1535947808375,-0.76130523336512,51081.3162672,23.12774,22.04305,20.58493,19.87582,19.42985,8658170821574590872,0.03352918
12.1535858937597,-0.746663843619618,51081.3162672,23.17253,22.7069,21.73953,21.764,21.24716,8658170821574590874,0.201189
12.1543486181703,-0.776864054062562,51081.3162672,23.61328,23.24276,22.19052,21.38954,20.97175,8658170821574591130,0.1580629
12.1546267611636,-0.818535403497497,51081.3162672,26.70351,24.23874,24.80672,24.28266,20.18849,8658170821574591163,0.9811642
12.1634284612157,-0.745554850359797,51081.3162672,21.02309,20.2517,19.28835,18.91505,18.74934,8658170821574590888,0.02731909
12.1634733139041,-0.718114736714105,51081.3162672,22.08947,21.39968,20.1052,19.25401,18.84223,8658170821574590889,0.03519093
12.1630335618142,-0.720485756096648,51081.3162672,25.05442,22.65117,21.09422,20.41335,19.79584,8658170821574591046,0.06999613
12.1636710272914,-0.730188911621901,51081.3162672,23.67043,22.45768,21.29968,20.66989,20.94642,8658170821574591047,0.1336402
12.160298146997,-0.81314256447713,51081.3162672,22.49329,21.36376,20.96646,20.79857,20.53296,8658170821574590885,0.08264752
12.1500260226103,-0.744642678485146,51081.3162672,22.81019,21.886,20.81069,20.54115,20.25538,8658170821574590862,0.08608391
12.1498217562656,-0.734664125449137,51081.3162672,24.27607,24.28915,22.12848,21.92778,21.85419,8658170821574591035,0.2071248
12.1507879887014,-0.72463861985226,51081.3162672,26.04941,22.85094,21.38538,21.05265,21.07409,8658170821574591037,0.1186081
12.1928970501178,-0.770311549608059,51081.3166816,23.6979,22.11749,21.89723,21.98539,21.18854,8658170821574656257,0.2563057
12.2032548151231,-0.807972373497877,51081.3166816,23.91668,22.61003,20.9415,19.98076,19.52744,8658170821574656492,0.06465878
12.2029651363096,-0.749035963674296,51081.3166816,23.73852,21.5902,19.99623,18.73006,18.01378,8658170821574656141,0.01415287
12.2026556503721,-0.802321270384102,51081.3166816,21.65103,25.86242,26.44683,25.75297,23.29049,8658170821574656160,0.4952259
12.2029448981247,-0.780326908530873,51081.3166816,25.34137,25.60686,26.25451,21.74728,21.56849,8658170821574656634,0.1825627
12.2033200382998,-0.722427305181545,51081.3166816,22.06688,21.3418,20.91854,20.83147,20.37794,8658170821574656274,0.08332016
12.2026165158982,-0.761029173542335,51081.3166816,25.37757,22.17996,21.29968,20.82848,20.54267,8658170821574656272,0.09664431
12.2023217038549,-0.725051761002168,51081.3166816,22.81019,23.0914,22.12848,21.99611,21.68559,8658170821574656276,0.2739981
12.2062627661205,-0.733314242097374,51081.3166816,22.76528,22.46458,20.93451,19.6849,18.84422,8658170821574656281,0.03019254
12.2329274994165,-0.819489942370351,51081.3166816,22.59392,23.50083,21.5636,21.25653,20.53975,8658170821574656519,0.1457555
12.1949772641138,-0.733223720419681,51081.3166816,23.81811,23.89704,22.75032,21.47774,21.50289,8658170821574656630,0.1530997
12.2328606906212,-0.792738822159446,51081.3166816,24.31784,21.41665,19.6883,19.14403,18.64444,8658170821574656324,0.02439092
12.1951137492036,-0.764294173236081,51081.3166816,25.51961,21.88799,20.47502,19.72689,19.21553,8658170821574656260,0.04887947
12.2044623896409,-0.72900910799766,51081.3166816,25.67933,22.09765,21.89822,21.332,21.46318,8658170821574656278,0.1320626
12.2037711392318,-0.72379225573927,51081.3166816,25.08064,23.39422,21.50787,20.76765,20.30643,8658170821574656275,0.1054209
12.2049302085873,-0.778647894165183,51081.3166816,21.72538,25.42233,23.5241,23.55998,23.09751,8658170821574656161,0.7569696
12.2043089573359,-0.795839535549279,51081.3166816,25.50356,23.39422,22.02782,21.41235,21.41438,8658170821574656494,0.1585886
12.2037926514443,-0.78851395695096,51081.3166816,24.28867,22.72545,21.19797,19.94378,19.34316,8658170821574656493,0.04399665
12.2386235419727,-0.731148847311417,51081.3166816,20.78658,19.49981,18.94737,18.77906,18.74634,8658170821574656090,0.01456264
12.1908419997955,-0.805924529349371,51081.3166816,20.98219,20.58658,20.84764,20.25254,20.84631,8658170821574656251,0.2392618
12.2146127180707,-0.753916254254223,51081.3166816,23.07356,22.436,22.04165,21.42523,21.52631,8658170821574656297,0.1552304
12.1907831932521,-0.726729523299238,51081.3166816,23.264,25.70843,22.59849,21.47774,20.61725,8658170821574656627,0.1943573
12.1936466618114,-0.794972427231486,51081.3166816,24.92819,24.08452,23.44367,21.58556,20.82446,8658170821574656629,0.1583523
12.1943753184194,-0.75520330364435,51081.3166816,23.01515,22.50887,21.4561,21.42821,21.90271,8658170821574656487,0.2059597
12.1939129866735,-0.796743862600564,51081.3166816,22.23048,22.39853,21.87147,21.66551,20.80923,8658170821574656258,0.1804698
12.1936073344094,-0.770036773657148,51081.3166816,22.77278,22.7508,21.7445,20.87135,20.26127,8658170821574656256,0.08035993
12.1936356392933,-0.778515755181958,51081.3166816,21.88956,23.78904,22.98828,21.80233,21.39276,8658170821574656156,0.1858044
12.194455236462,-0.778689114156527,51081.3166816,21.57561,25.30248,24.69531,25.62363,22.24527,8658170821574656155,0.5518948
12.2292722099039,-0.820221077581178,51081.3166816,22.73426,25.75791,23.3699,21.10938,20.93515,8658170821574656642,0.154425
12.2296161010101,-0.796529339015599,51081.3166816,22.11694,21.74266,20.83965,20.61002,20.34172,8658170821574656321,0.08387085
12.2288136939682,-0.718607046812637,51081.3166816,21.45936,20.58858,19.87827,19.50496,19.33419,8658170821574656317,0.03584074
12.2299320094422,-0.77872509434426,51081.3166816,22.08161,25.88478,23.85853,25.36712,22.88181,8658170821574656166,0.6583942
12.2297677941362,-0.732819958056863,51081.3166816,23.32894,23.93234,22.51035,22.78409,21.49869,8658170821574656514,0.4262944
