ra,dec,mjd_g,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g,thingID
12.217278192047,-0.804681863071792,51081.31916392,25.53969,22.66824,21.64594,21.33238,22.61724,1237646010551632410,0.184154,0.3048821,77759956
12.2465258562363,-0.767081581485722,51081.31916392,23.97674,21.77352,21.06777,21.55779,20.69247,1237646010551632226,0.1585723,0.09950882,77759328
12.2466761546798,-0.745238843509949,51081.31916392,25.82502,22.75609,21.34088,20.38443,19.95388,1237646010551632227,0.04986845,0.2113578,77759329
12.24751450729,-0.782540361604664,51081.31916392,22.14285,22.01703,21.28976,21.02048,21.05347,1237646010551632228,0.1049257,0.1308735,77759331
12.2448974248057,-0.801536308544804,51081.31916392,26.03353,23.49345,21.73515,20.97664,21.38111,1237646010551632436,0.1122053,0.5249829,77759336
12.1704515369461,-0.752291769166105,51081.31916392,23.16586,20.92307,19.37749,18.15957,17.52181,1237646010551631995,0.009103649,0.04321354,77759350
12.1669817426812,-0.770808262237929,51081.31916392,21.37057,20.67019,19.93786,19.60424,19.24618,1237646010551632083,0.0442859,0.05782985,77759353
12.1677633368333,-0.761111791855231,51081.31916392,24.84555,22.71355,21.14673,20.34716,19.62844,1237646010551631992,0.04975314,0.2089379,77759354
12.183541445869,-0.79537902943769,51081.31916392,22.87267,24.84516,22.30629,21.5718,22.26214,1237646010551632524,0.193797,1.195988,77759352
12.1678987366291,-0.819067907527241,51081.31916392,23.14746,23.3117,21.96956,21.38735,21.30691,1237646010551632355,0.1669678,0.4654144,77759355
12.1681171935084,-0.763548808450163,51081.31916392,22.42336,21.87591,21.05038,20.97775,20.58376,1237646010551632086,0.09629054,0.1100274,77759356
12.1684828264704,-0.815646741392113,51081.31916392,22.98269,22.42601,21.32119,20.83718,21.15528,1237646010551632090,0.09319523,0.1958178,77759357
12.1682383891643,-0.737217271751058,51081.31916392,21.34163,21.42812,20.52094,19.85797,19.27271,1237646010551632088,0.08567359,0.1754875,77759358
12.1729220741482,-0.758238174093727,51081.31916392,26.46265,22.20827,21.23743,21.90827,22.83687,1237646010551632093,0.373351,0.2444862,77759360
12.1748756333362,-0.760162423016584,51081.31916392,25.08457,21.91755,21.05346,20.8848,20.68484,1237646010551632096,0.1093228,0.1386247,77759361
12.1754952961582,-0.819409874134674,51081.31916392,25.66928,22.0069,21.11685,20.60967,20.29109,1237646010551632098,0.09122007,0.1601954,77759362
12.1774407095903,-0.781329799169042,51081.31916392,24.18123,23.05881,22.05064,21.59258,21.93925,1237646010551632365,0.1425491,0.271218,77759363
12.1775822707336,-0.748845998187407,51081.31916392,22.86584,22.03027,21.35402,21.03431,20.74067,1237646010551632104,0.1122442,0.1375822,77759364
12.1786322057716,-0.81082453315484,51081.31916392,26.39513,22.90106,22.01206,22.40157,20.97631,1237646010551632367,0.3615293,0.2871414,77759366
