ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,thingID
12.1590954013717,-0.814874484909255,51081.3162630401,24.88189,24.354,20.90079,20.09613,19.66964,1237646010551566781,0.07834534,77759887
12.1445731932567,-0.723186938438471,51081.3162630401,24.8297,23.42664,22.17007,21.50768,20.33347,1237646010551566933,0.1629261,77759197
12.1653933985131,-0.774338852953832,51081.3162630401,23.77777,23.01161,21.69065,21.65341,23.7949,1237646010551566955,0.2165372,77759892
12.152681786414,-0.767926936936578,51081.3162630401,25.03717,24.49153,22.6929,21.92118,23.20217,1237646010551566948,0.2035764,77759872
12.1626064961599,-0.792364287355155,51081.3162630401,21.93043,24.0714,23.10863,21.65196,21.21779,1237646010551567036,0.1513804,77759891
12.1634793697353,-0.718114568494665,51081.3162630401,22.16724,21.31896,20.02951,19.16968,18.81565,1237646010551566786,0.03374474,77759721
12.1615932882181,-0.733449947897208,51081.3162630401,22.44187,22.23904,21.50307,21.32736,21.62893,1237646010551566783,0.1310436,77759546
12.1450516356705,-0.804742054531424,51081.3162630401,24.64518,22.81055,22.85496,22.63719,21.29119,1237646010551566743,0.3642329,78021473
12.1575545952689,-0.729885125441182,51081.3162630401,23.9112,23.7956,21.73506,21.49717,20.79952,1237646010551566950,0.2239106,77759731
12.1636799404219,-0.730183858130033,51081.3162630401,24.43431,22.48839,21.56987,20.91932,21.41372,1237646010551566952,0.1338074,77759735
12.1422732242492,-0.722649539049943,51081.3162630401,24.7426,22.28755,21.13231,20.30076,19.77712,1237646010551566732,0.0776768,77759182
12.150032598642,-0.744637524747827,51081.3162630401,22.92389,21.85844,20.77486,20.49605,20.21237,1237646010551566755,0.08220851,77759860
12.1421762037421,-0.783346880459768,51081.3162630401,22.67084,21.93764,21.57611,21.3124,21.35407,1237646010551566731,0.1290567,77759102
12.1527181157913,-0.728620459371959,51081.3162630401,24.65878,23.40022,21.42567,20.43777,19.75132,1237646010551566944,0.05190299,77759712
12.162684611878,-0.775376040052495,51081.3162630401,21.13023,19.89755,19.52142,19.33617,19.17762,1237646010551566519,0.02139005,77759854
12.1483535018528,-0.758647796509265,51081.3162630401,27.2508,22.99023,21.78638,22.17506,21.89977,1237646010551566938,0.4062979,77964691
12.1602994418777,-0.813137316343977,51081.3162630401,22.45065,21.3612,20.97913,20.84612,20.82902,1237646010551566780,0.0782062,77759876
12.1600769403618,-0.748993186614685,51081.3162630401,23.18798,21.98366,21.36792,21.31143,21.70556,1237646010551566782,0.1565342,77759877
12.1634308784359,-0.745549313212389,51081.3162630401,21.06983,20.23123,19.27717,18.88047,18.74741,1237646010551566784,0.02584302,77759879
12.1439017384364,-0.739256371591206,51081.3162630401,27.04895,22.67799,21.41888,21.61117,20.49701,1237646010551566932,0.2650774,77759097
12.1596183102484,-0.754159068763997,51081.3162630401,20.1283,17.41021,16.05953,15.39643,15.05701,1237646010551566434,0.003132243,77759852
12.1650525981257,-0.779715832342488,51081.3162630401,24.40935,22.39401,22.40694,22.24113,21.02091,1237646010551566522,0.2709043,77759883
12.1552235260725,-0.743091071473047,51081.3162630401,22.19984,20.05883,19.29619,18.82431,18.43278,1237646010551566770,0.01843311,77759858
12.1535988371662,-0.761300441097659,51081.3162630401,23.16163,22.03331,20.61123,19.84783,19.43771,1237646010551566764,0.03176033,77759867
12.1500691720964,-0.795043952820194,51081.3162630401,26.16628,20.8284,21.85923,26.54085,20.01517,1237646010551567079,1.339409,80032134
12.1599462194301,-0.809440135920827,51081.3162630401,23.3014,22.62921,21.5328,21.0719,20.70574,1237646010551566951,0.1418006,77759889
12.150788246801,-0.724636311135252,51081.3162630401,26.06182,22.68157,21.32112,20.95983,20.90847,1237646010551566942,0.1141848,77759708
12.1588936579251,-0.756486494409502,51081.3162630401,23.92138,24.38759,21.86359,20.66678,19.80831,1237646010551566435,0.07747598,77759853
12.1565387274524,-0.798919210254636,51081.3162630401,23.09627,22.24379,21.9649,21.35744,21.87163,1237646010551566771,0.1246568,77759874
12.166472110743,-0.758072446563908,51081.3162630401,22.95824,20.15525,18.74593,17.33002,16.58248,1237646010551566458,0.005754223,77759855
12.152739161768,-0.794518304296422,51081.3162630401,22.2074,22.88851,21.82561,21.37759,20.44516,1237646010551566943,0.1446683,77759862
12.1461471981398,-0.763981541997016,51081.3162630401,26.25012,22.41381,21.35981,21.03529,20.30928,1237646010551566745,0.1099431,77759106
12.1575494640844,-0.774503774109516,51081.3162630401,22.53465,22.9985,23.04108,21.57886,20.82353,1237646010551567032,0.1678329,77759886
