ra,dec,mjd_i,psfMag_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_i,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_z
12.1935749239171,-0.770009681451498,53994.35298327,21.02216,22.04868,22.44618,21.57689,20.81726,20.10209,0.06695728,0.2807612,0.1270098,0.09726205,0.1259262
12.193565054534,-0.770059873673936,53998.30527396,20.93709,21.69328,21.6368,20.90181,20.32496,19.91111,0.07296371,0.5124876,0.2160372,0.07997219,0.2474079
12.1935857414069,-0.76998610366347,54010.29104424,21.14655,22.21269,22.02301,21.1007,20.52347,19.69584,0.06013182,0.4633684,0.1621846,0.08360957,0.09661328
12.1935275973395,-0.769973536977138,54020.28985248,20.85343,21.60993,21.85554,20.70106,20.06932,19.9079,0.07904131,0.5543031,0.3129153,0.1183759,0.2900304
12.1935263423121,-0.770013280566864,54028.35965822,20.95037,25.06229,21.52013,20.73634,20.34127,19.92797,0.09612121,3.036618,0.1017696,0.09454373,0.2393345
12.1935711814641,-0.770014648846767,54030.28329798,21.05247,23.16418,22.41346,21.6239,20.8302,20.0622,0.05882007,0.6310443,0.112139,0.08517248,0.1252627
12.1935404796995,-0.769977447575065,54040.27893003,21.01497,21.59424,20.329,20.04803,19.65567,19.29428,0.1091442,1.409943,0.18544,0.1499592,0.2595955
12.1935445444757,-0.770007337054538,54053.26958412,21.08618,22.14295,21.81113,20.93289,20.36517,19.73533,0.07057128,0.5034944,0.1153748,0.08001169,0.1562602
12.1935594372729,-0.770023239871067,54056.27160594,21.0346,25.41117,21.52174,20.75506,20.06123,19.33195,0.0712299,3.144563,0.130509,0.1058468,0.1781411
12.1935142439325,-0.769990221943172,54061.27686853,20.87697,23.0748,21.49192,20.80133,20.32739,19.70638,0.08349011,1.896031,0.115177,0.1000494,0.1801059
12.1935796750397,-0.770070545654227,54062.27072671,20.96916,21.96006,21.52156,20.83744,20.17756,19.61027,0.08461984,0.6305742,0.1170686,0.09948017,0.1994449
12.1935518581581,-0.770000587908668,54357.3089067,21.14313,21.84922,22.23288,21.36135,20.52614,20.20613,0.05722163,0.2992758,0.125609,0.08336477,0.1618965
12.1935779790856,-0.769961615401934,54362.35862503,21.01848,22.2265,21.46724,20.66175,20.16043,20.33332,0.07394294,0.631529,0.09978179,0.08101246,0.328659
12.1935686456055,-0.770010247547741,54382.33890973,20.72862,22.63317,21.7439,21.06444,20.37185,19.48905,0.09042078,1.000466,0.1390097,0.1123616,0.1577932
12.1935736155412,-0.769988535045466,54385.35688376,21.07217,21.20718,21.48528,20.73184,20.04184,19.49395,0.05269524,0.2675153,0.09748891,0.07232071,0.124437
12.1935732143072,-0.769962829616849,54394.33990363,20.9387,22.31574,21.49267,20.79246,20.17651,19.93469,0.08690979,0.9411731,0.1244144,0.1092198,0.2517442
12.1936666146132,-0.7699783034078,54402.35019506,21.12216,21.13924,21.89418,20.78415,20.36135,19.80462,0.1065629,0.7219089,0.4968745,0.1604134,0.2091972
12.1935319373858,-0.770019476618364,54413.26320611,20.92454,22.19304,21.3008,20.70673,20.08167,19.57695,0.07301441,0.7236783,0.09573905,0.08999804,0.1718063
12.1935157676354,-0.769999589915981,54418.26328923,20.99678,22.28683,21.45245,20.78608,20.1747,19.42299,0.0642052,0.6874873,0.0907149,0.08149615,0.1288761
12.1935582478812,-0.769936384244097,54422.2681472901,21.07912,22.08778,21.54859,20.74792,20.28629,19.62896,0.09569816,0.8078469,0.2085543,0.119796,0.1950397
12.1935607248391,-0.769983930703562,54424.20414969,21.2731,21.34567,21.71859,20.60569,20.11602,19.30484,0.1084539,0.7241351,0.4428609,0.1588773,0.1531194
