ra,dec,mjd_g,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g
12.183973957843,-0.728216219199404,51081.3191681,22.33081,21.9228,20.82068,20.54813,20.24457,8658170821574656246,0.08671858,0.1411407
12.1774587175049,-0.81705753574344,51081.3191681,24.04023,23.8083,22.28385,22.13887,20.6732,8658170821574656466,0.2500179,0.4964924
12.2238684058826,-0.776915253558054,51081.3191681,25.60204,22.28293,20.79471,20.04871,19.44579,8658170821574656085,0.03971372,0.1387148
12.1835579446736,-0.795374113969719,51081.3191681,22.9213,24.75527,22.77037,21.93169,22.24478,8658170821574656621,0.2059489,0.8501234
12.2062627661205,-0.733314242097374,51081.3191681,22.76528,22.46458,20.93451,19.6849,18.84422,8658170821574656281,0.03019254,0.1682107
12.1766967973247,-0.753234088492192,51081.3191681,23.92764,23.78316,22.68038,21.13028,20.50088,8658170821574656615,0.1205057,0.5763832
12.1829650057101,-0.729478285722561,51081.3191681,22.61681,23.47096,21.86651,21.50743,21.31129,8658170821574656474,0.1816148,0.4892933
12.1787740574468,-0.765119495468069,51081.3191681,23.98694,24.78804,22.87666,21.32406,20.70782,8658170821574656619,0.150122,1.069354
12.1748815968659,-0.760160843677237,51081.3191681,24.11133,21.90988,21.04632,20.90922,20.66839,8658170821574656224,0.1175386,0.136933
12.1915395242601,-0.762405185375195,51081.3191681,22.68612,20.5436,19.14836,18.47708,18.02077,8658170821574656123,0.01171815,0.03181748
12.2478480589598,-0.797002958042188,51081.3191681,22.41032,20.68553,19.28235,18.75006,18.40162,8658170821574656128,0.01429692,0.03569493
12.1836318590381,-0.732658810529545,51081.3191681,23.5806,23.8183,21.77328,20.93015,20.0899,8658170821574656477,0.1366882,0.810781
12.1771552175838,-0.775279869564658,51081.3191681,24.39829,22.75957,22.19052,20.95804,20.80637,8658170821574656617,0.1189149,0.279208
12.1936466618114,-0.794972427231486,51081.3191681,24.92819,24.08452,23.44367,21.58556,20.82446,8658170821574656629,0.1583523,0.6338833
12.182596611898,-0.793341984672872,51081.3191681,23.37859,23.10378,22.0298,21.59544,20.80446,8658170821574656473,0.1769878,0.3261845
12.1766362127631,-0.729349733660133,51081.3191681,20.79557,19.88077,18.83937,18.37208,17.96979,8658170821574656149,0.01673751,0.03006393
12.2328606906212,-0.792738822159446,51081.3191681,24.31784,21.41665,19.6883,19.14403,18.64444,8658170821574656324,0.02439092,0.08684072
12.2475175659162,-0.782541527390143,51081.3191681,22.15517,22.02517,21.31164,21.04967,21.08701,8658170821574656339,0.1114085,0.1295179
12.181136477185,-0.779225869341271,51081.3191681,25.32941,22.95628,21.68888,21.45694,20.89745,8658170821574656472,0.1511945,0.272488
12.1939129866735,-0.796743862600564,51081.3191681,22.23048,22.39853,21.87147,21.66551,20.80923,8658170821574656258,0.1804698,0.1668079
12.2296161010101,-0.796529339015599,51081.3191681,22.11694,21.74266,20.83965,20.61002,20.34172,8658170821574656321,0.08387085,0.1112581
12.1884669478935,-0.816692095784135,51081.3191681,27.07932,22.82183,21.11717,20.47326,20.28484,8658170821574656483,0.07492124,0.2909026
12.1807133127271,-0.733677356806415,51081.3191681,24.66444,20.53061,19.06136,18.52108,18.2307,8658170821574656122,0.01757448,0.04654862
12.2343865967475,-0.762019959413216,51081.3191681,24.89476,23.08759,21.42822,20.00974,19.32422,8658170821574656521,0.03813829,0.2821448
12.2343210305837,-0.773705517902859,51081.3191681,24.60832,23.55292,21.7971,21.08052,20.74427,8658170821574656522,0.138939,0.587634
12.1743407364825,-0.727883900978908,51081.3191681,23.21164,23.29048,22.98455,21.79938,21.70662,8658170821574656612,0.185994,0.3310194
12.2386235419727,-0.731148847311417,51081.3191681,20.78658,19.49981,18.94737,18.77906,18.74634,8658170821574656090,0.01456264,0.01517935
12.2014289775553,-0.735577914168428,51081.3191681,26.40653,24.48531,23.13942,21.27442,20.3887,8658170821574656633,0.1425363,0.9578597
12.1998850924271,-0.806746206717093,51081.3191681,22.87984,21.95263,21.40232,21.45496,20.78061,8658170821574656268,0.1409746,0.1064335
12.1981676005221,-0.737002151181965,51081.3191681,22.3483,19.79178,18.24438,16.9851,16.27392,8658170821574656074,0.005008484,0.01877708
12.1985439865697,-0.793569743581438,51081.3191681,22.71824,20.04475,18.71737,18.29108,18.00278,8658170821574656075,0.01057962,0.02201872
12.2422514420028,-0.727886102686378,51081.3191681,20.81354,19.5988,19.72829,19.82684,20.05039,8658170821574656091,0.03285837,0.01643034
12.2466777477327,-0.745235061404795,51081.3191681,25.63297,22.70885,21.33755,20.38339,19.92871,8658170821574656337,0.05270774,0.2032842
12.1951137492036,-0.764294173236081,51081.3191681,25.51961,21.88799,20.47502,19.72689,19.21553,8658170821574656260,0.04887947,0.1601825
12.2009443097894,-0.773279701388672,51081.3191681,26.51852,20.83443,19.43233,18.87206,18.52754,8658170821574656124,0.01554649,0.04004284
12.2449525709704,-0.736920637880061,51081.3191681,22.16105,21.21202,20.19017,19.79986,19.35512,8658170821574656334,0.03885792,0.06622402
12.2438406331356,-0.805242484002665,51081.3191681,25.68455,21.77353,19.91026,19.39298,18.98901,8658170821574656331,0.02782185,0.1090999
12.1872264955822,-0.744169223052882,51819.3899519,23.59275,23.1273,21.75577,21.60631,22.85759,8658177822391075501,0.1450159,0.3062535
12.1833028781481,-0.795424478458265,51819.3899519,23.55969,25.30417,22.44455,23.39851,23.76675,8658177822391075495,0.5573703,0.8423352
12.1536594953311,-0.746626985042392,51819.3899519,26.37689,22.86328,21.21728,21.10541,20.76523,8658177822391075455,0.1311979,0.3397328
12.1543853848717,-0.776825013425537,51819.3899519,22.22952,22.78171,20.73215,20.38739,19.7749,8658177822391075456,0.1919309,0.8470317
12.1652683102695,-0.781229199149358,51819.3899519,25.59116,23.68645,21.36382,20.55313,19.98207,8658177822391075466,0.06416257,0.5462307
12.1526996226686,-0.794435968232437,51819.3899519,22.80743,22.54793,21.82622,21.40343,21.02115,8658177822391075258,0.1118647,0.1756828
12.1534533379978,-0.79610652051601,51819.3899519,26.80337,24.85648,21.39869,21.79644,23.20188,8658177822391075454,0.3341976,1.775221
12.1770831152741,-0.775184763937461,51819.3899519,26.48565,23.92976,22.20071,20.85541,20.15392,8658177822391075591,0.1157525,0.8744484
12.1770065944436,-0.733036316528659,51819.3899519,22.54421,21.72646,20.65822,20.18861,20.0819,8658177822391075315,0.05302477,0.1143861
12.1503862021573,-0.799272903533244,51819.3899519,26.01496,23.86594,23.37282,22.08462,22.56707,8658177822391075582,0.1842079,0.4841994
12.1755337358199,-0.819314308821038,51819.3899519,22.35123,21.84295,21.23024,20.82948,20.83102,8658177822391075306,0.09144837,0.1213284
12.1480605489455,-0.763089294499859,51819.3899519,26.04931,22.7963,23.14885,22.73817,21.41775,8658177822391075249,0.3962561,0.2387203
12.1757762324801,-0.717037089926266,51819.3899519,22.94885,22.48991,22.1643,22.31768,22.78016,8658177822391075307,0.2467782,0.1659231
12.150771401096,-0.724666856577335,51819.3899519,24.61598,23.96694,21.59181,21.04868,20.59588,8658177822391075450,0.08458479,0.5853727
12.1525061281905,-0.767961230211284,51819.3899519,23.80882,22.68612,21.68128,21.59248,23.06748,8658177822391075264,0.156735,0.2291553
12.1498930889211,-0.734566111886352,51819.3899519,24.32292,23.35433,22.0884,21.6813,21.41171,8658177822391075449,0.1607748,0.3909152
12.1525299975755,-0.799556382008528,51819.3899519,22.29387,20.28842,18.73373,17.7671,17.2088,8658177822391074938,0.007186044,0.02716
12.1492933013715,-0.720618465598711,51819.3899519,21.86192,22.10829,21.18436,20.90624,21.61561,8658177822391075252,0.1031297,0.1655958
12.1839309926288,-0.728142932711998,51819.3899519,25.88848,21.82305,20.78608,20.52318,19.87907,8658177822391075330,0.0835125,0.1367898
12.1512031049539,-0.760723213507302,51819.3899519,25.69335,22.45052,20.94186,20.3005,20.01867,8658177822391075451,0.06540286,0.2340188
12.1798270658635,-0.717298122664343,51819.3899519,25.38317,24.61694,22.11602,21.06859,20.27002,8658177822391075487,0.08128466,0.8098866
12.1826305015561,-0.793411300269335,51819.3899519,21.89747,23.08829,21.95699,21.62309,20.93788,8658177822391075492,0.1714224,0.3391999
12.1811422391627,-0.779224799609445,51819.3899519,23.06649,22.81477,21.44351,20.9959,20.49787,8658177822391075490,0.1089214,0.2966886
12.1774315174013,-0.817103537427886,51819.3899519,23.45473,23.69769,22.65669,21.4183,20.76715,8658177822391075592,0.1184125,0.4651862
12.1749144690492,-0.760212772963224,51819.3899519,22.45671,21.99609,21.31498,21.17007,21.93279,8658177822391075303,0.1101614,0.1251017
12.1820943117983,-0.752776348709749,51819.3899519,23.53528,22.51353,21.22625,20.94909,20.36709,8658177822391075324,0.1028152,0.2270128
12.1807298696571,-0.733674240810454,51819.3899519,21.95765,20.41039,18.99572,18.39809,18.07966,8658177822391074991,0.01595476,0.04515862
