ra,dec,mjd_i,u,g,r,i,z,objID,err_i
12.2025916070249,-0.761012147651406,54417.26530361,23.32477,22.63675,21.21137,20.87962,20.5595,8658201028077093271,0.0744183
12.2057581844771,-0.775694035849693,54053.26958412,22.34751,21.16278,19.79107,19.28671,18.83483,8658198438239142471,0.03747647
12.1950917650236,-0.764255241547113,53669.26518442,22.81819,22.07883,20.48836,19.82424,19.47153,8658195092456473219,0.03511207
12.2025415862072,-0.761005190708425,54407.26771017,24.48785,22.22219,21.53117,20.92692,21.33055,8658200882074026354,0.1317482
12.1915112052572,-0.762409510998957,54417.26530361,22.54207,20.51692,19.16692,18.45336,18.04494,8658201028077092947,0.009861284
12.2024989684741,-0.761010637742345,53685.2613568291,22.7644,23.08685,21.08969,21.59142,20.48871,8658195423170461972,0.2796941
12.2017994002839,-0.757341554133996,53697.25942276,23.65247,22.29984,23.51828,22.4343,22.58412,8658195603559022960,0.3308338
12.1846364074842,-0.760987474736665,54417.26530361,24.22181,23.68369,22.78438,21.33111,21.54346,8658201028077093722,0.1172821
12.2009344474146,-0.773288453255004,54417.26530361,23.03712,20.80746,19.44834,18.88863,18.5565,8658201028077092952,0.01284425
12.1846287723731,-0.761028918461498,54053.26958412,23.69457,24.23746,22.39105,21.3853,21.45394,8658198438239142715,0.1511535
12.2057626913692,-0.775730690227339,54407.26771017,23.24942,21.27126,20.23237,19.66527,19.31845,8658200882074026360,0.05227125
12.2010417694625,-0.766983088238295,53697.25942276,26.69255,22.67978,21.28832,21.35809,20.55197,8658195603559023188,0.1735708
12.1846093539066,-0.761065617395083,53671.34988267,24.14105,24.07858,22.50127,21.37994,21.93588,8658195135395922708,0.1227757
12.2009391115082,-0.773298450381482,54387.3572933,25.36014,20.74379,19.43304,18.89343,18.55064,8658200594310955089,0.01703
12.1845302766225,-0.761045765666451,53669.26518442,23.61024,24.25501,22.57106,21.84034,21.43838,8658195092456473466,0.131676
12.2009346127128,-0.766915608259871,53685.2613568291,22.03119,24.66743,21.21474,20.63373,20.70335,8658195423170462094,0.1798984
12.1831816971336,-0.773393091925923,53671.34988267,21.38613,25.53692,25.36364,24.11295,23.68725,8658195135395922162,0.9168201
12.184644559925,-0.761021776197705,53655.28089453,26.2077,23.223,22.54123,21.72095,22.08173,8658194821877203519,0.1840118
