ra,dec,mjd_u,u,g,r,i,z,objID
12.2009516954163,-0.773301022735764,51819.38870721,22.87521,20.70358,19.45999,18.87506,18.50078,1237653011368116345
12.2009523328591,-0.773287897300757,52959.1957731901,24.85756,20.77486,19.46156,18.86186,18.48039,1237663714409054355
12.2009526362623,-0.773278422945448,52910.3255131401,23.11351,20.80604,19.47585,18.81547,18.55103,1237663276322521229
12.2009536296656,-0.77328871887291,51136.16731706,25.63313,20.82552,19.44846,18.86067,18.55961,1237646646197551228
12.200954747007,-0.773283952690654,52931.25539154,23.1395,20.76197,19.43592,18.8714,18.55147,1237663478202040454
12.2009586025546,-0.773285938723161,52522.34967462,24.31465,20.87778,19.46574,18.85806,18.56918,1237659754449141901
12.2009595527734,-0.77329344794788,52935.25233815,22.58746,20.77569,19.47966,18.8956,18.53795,1237663525449892343
12.2009623864359,-0.773283382458668,53352.14657602,24.81093,20.85873,19.45208,18.85015,18.5251,1237667171857727629
12.2009659783405,-0.773272233183297,52577.2399959,23.903,20.79642,19.4503,18.88034,18.55353,1237660222616633510
12.2009704172905,-0.773287157398454,54424.2049789,21.95731,20.76509,19.45793,18.84919,18.49583,1237676324423008451
12.2010109973105,-0.766962277708453,53352.14657602,22.60091,23.215,22.07482,21.78308,21.24024,1237667171857728259
12.2010236275542,-0.76696146983634,52931.25539154,22.93185,22.63763,22.07961,21.55202,22.1462,1237663478202040848
12.2084458399399,-0.765208519021437,52910.3255131401,22.99198,23.13426,22.31773,21.75219,21.33461,1237663276322521730
12.2085091614428,-0.761700478457412,52558.35263407,18.25472,16.5106,15.84927,15.60084,15.50206,1237660025045975054
12.2085134608572,-0.761703260785766,52963.1755465901,18.28358,16.51431,15.85187,15.61251,15.50188,1237663783128989723
12.2085152871892,-0.761691173337568,51081.31750627,18.26811,16.49897,15.83777,15.60233,15.482,1237646010551631882
12.2085167360447,-0.761706443337764,52552.34434077,18.31023,16.51921,15.86148,15.64092,15.55428,1237659904789643274
12.2085178338898,-0.761713104331881,52586.24493694,18.24804,16.51078,15.85814,15.61652,15.50253,1237660355752755212
12.2085193438077,-0.761704965088926,51136.16731706,18.26233,16.51163,15.84893,15.61276,15.5083,1237646646197551142
12.2085200889159,-0.761709952492136,52959.1957731901,18.28991,16.49774,15.8518,15.60936,15.50076,1237663714409054248
12.2085205090959,-0.761703393326544,52910.3255131401,18.27837,16.48365,15.85264,15.59875,15.49483,1237663276322521098
12.2085206553228,-0.76171442853569,51819.38870721,18.23791,16.50461,15.85071,15.61847,15.47503,1237653011368116237
12.2085211508814,-0.761704412715665,52931.25539154,18.24065,16.49856,15.84345,15.60862,15.48605,1237663478202040362
12.2085233481783,-0.761721899991063,52935.25233815,18.25447,16.5209,15.85041,15.62156,15.4956,1237663525449891891
12.2085315263575,-0.761698739377278,53352.14657602,18.29063,16.51028,15.80803,15.60776,15.50223,1237667171857727524
12.2085317591282,-0.761709909702817,52522.34967462,18.2573,16.49529,15.83954,15.6142,15.49094,1237659754449141803
12.2085368265838,-0.761721290085992,54424.2049789,18.28394,16.51251,15.84559,15.60167,15.48552,1237676324423008302
12.2085380955822,-0.761703704150392,52577.2399959,18.25271,16.51437,15.84881,15.60537,15.52215,1237660222616633405
12.2085459389346,-0.765185600374447,52931.25539154,22.89706,23.9321,22.28886,21.89078,21.30576,1237663478202041066
