ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i
12.193558455598,-0.769987257890373,52552.3447596,22.45744,21.76156,20.91261,20.29413,19.58346,8658466190789378335,0.05749112
12.1936073344094,-0.770036773657148,51081.3166816,22.77278,22.7508,21.7445,20.87135,20.26127,8658170821574656256,0.08035993
12.1936116256915,-0.769991381057822,52577.2404147,22.8166,22.01154,21.17494,20.44365,20.03072,8658185033639658009,0.06336409
12.1935949493533,-0.769959357340381,52910.3242692,23.50212,22.51313,21.36353,20.72766,20.18615,8658188087345480281,0.06179603
12.1936100112037,-0.769990182368512,52931.254564,22.45903,22.19559,21.57642,20.66998,20.26342,8658188289225064922,0.06672611
12.1935953131215,-0.770026417860125,53705.24519446,22.36405,22.44154,21.45668,20.92994,20.27288,8658195728113074501,0.06804118
12.1935991674996,-0.769971643277761,53996.33678773,23.39381,22.4872,21.61701,20.95321,20.06235,8658197630777229682,0.07434423
12.1936330338458,-0.769995217337114,54024.37110238,22.15175,21.54362,20.68697,19.91425,19.60648,8658198021601231190,0.07252971
12.1936666146132,-0.7699783034078,54402.35019506,21.13924,21.89418,20.78415,20.36135,19.80462,8658200783287550290,0.1065629
12.193608991468,-0.769994786587517,52522.3488462,21.73616,21.82828,20.99175,20.19764,19.66051,8658466040448876967,0.06681661
